id,name,category,price,color,description,image_url,sizes
14,Vanta Jacket in Black,Jacket,3500.0,Black,"This is a mid-length leather jacket with a straight silhouette, stand collar, and full-length raglan sleeves. Constructed in smooth black leather with suede binding at the collar, cuffs, and zipper lip, it is detailed with double topstitch seams and a metal front zipper.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/VantaJacket_Black_FRONT_1_c7031c7e-c63b-42e4-a8cb-769b71c501c7.jpg?v=1761693142,"XS,S,M,L"
15,Lazare Trouser in Python Embossed Leather,Pant,2900.0,Copperhead,"This is a mid-rise straight leg pant with a boyish fit throughout, finished with a zip fly, trouser closure, and front and back pockets. Crafted from Italian python-embossed leather with luminescence and defined texture, and made in Italy.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/26-2018-AFL_0136_be190504-2b0b-4cb3-90f2-084ca145eb5c.jpg?v=1770320509,"0,2,4,6,8,10"
16,Lazare Trouser in Python Embossed Leather,Pant,2900.0,Racer,"This is a mid-rise straight leg pant with a boyish fit throughout, finished with a zip fly, trouser closure, and front and back pockets. Crafted from Italian python-embossed leather with luminescence and defined texture, and made in Italy.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/26-2018-AFL_0145_6d1410bf-d1a5-41b5-b6ae-ffa41eb167c9.jpg?v=1771518273,"0,2,4,6,8,10"
17,Lazare Trouser in Leather,Pant,2500.0,Black,"This is a mid-rise straight leg pant with a boyish fit throughout. Made from a buttery-soft, lightweight plongé leather sourced that is sourced in France, then crafted in Italy and finished with a zip fly, trouser closure, and front and back pockets.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/26-1991-AFL_0018.jpg?v=1769102741,"0,2,4,6,8,10"
18,Aveli Jacket in Ponyhair,Other,3400.0,Bambi,,https://cdn.shopify.com/s/files/1/0667/6142/5143/files/260109_SIMOND_AFLALO_Shot_07_014_v1_shopify.webp?v=1772736058,"S,XS,M,L"
19,Ater Pant in Silk,Pant,700.0,Moonbeam,"This is a relaxed fit, wide leg pant with an elastic waistband and clean finishings. Made in our Los Angeles atelier from opulent and heavy Italian double face silk cady, finished with a dry hand and fluid drape.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/AterPant_Moonbeam_FRONT_1.jpg?v=1761739917,"XS,S,M,L"
20,Zanitha Pant in Silk,Pant,600.0,Putty,"This is a relaxed fit, straight leg pajama pant with an elastic waistband and clean finishings. Crafted in fluid mid-weight silk twill in our Los Angeles atelier.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/ZanithaPantinSilk_RAINYDAY_9437.webp?v=1772732074,"XS,S,M,L"
21,Bethany Toe Ring in Gold-Plated Silver,Accessories,2300.0,Gold-Plated Silver,"Brilliant round-cut toe ring featuring a 3-carat stone set in 14K yellow gold-plated silver. Featuring a semi-flexible open band silhouette for sizing, and anchored by a refined four-prong setting. A masterpiece for your foot's summer dalliances. All Summer Diamonds sales are final. To view and shop in-person, please email to schedule an appointment at our SoHo, NY Studio.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/aflalo_ring3_front-web_03571bdb-d22b-4376-bae8-30c545e8ebaa.jpg?v=1757782592,OS
22,Lolana Pant in Viscose,Pant,690.0,Black,"Voluminous and subtly sheer pleated leg pants that gather and taper at the ankle. Cut from lightweight and sheer viscose jersey with a fluid drape, dry texture, and cool hand feel. The pants are complete with a mini-short lining and elastic waistband and leg openings for ease of wear.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/LolanaBlack_3962550d-188d-4153-93ee-a7563520906f.webp?v=1760999180,"XS,S,M,L"
23,Mentra Jacket in Python Embossed Leather,Jacket,4200.0,Copperhead,"This is a waist length moto jacket with a rounded silhouette, minimal hardware detailing, and zipper closure. Cut from python embossed leather and made in Italy.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/26-2018-AFL_0319_580d0e91-df3e-4fe5-9823-52d5028204d7.jpg?v=1770320579,"XS,S,M,L"
24,Junia Pant in Wool Silk,Pant,800.0,Olive,"The Junia Pant is low-rise with a straight, baggy leg and a relaxed fit through the hip. Cut in Italian Wool & Silk and finished with a pressed crease down the legs, 5-pocket detail, and trouser.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/26-2018-AFL_0164_ce3c903a-fb02-4b4c-8874-15b2bb1e8e51.jpg?v=1770320630,"0,2,4,6,8,10"
25,Mira Jacket in Wool Silk,Jacket,1300.0,Olive,,https://cdn.shopify.com/s/files/1/0667/6142/5143/files/MiraJacketinWoolSilk_Olive_BlueBG_117_V2.jpg?v=1772063068,"XS,S,M,L"
26,Carmela Top in Silk Cotton,Top,630.0,Ivory,"This is an oversized button-up shirt with a fluid, relaxed drape and a pussybow scarf attached at the neck. Cut in cotton silk jacuard with a luminous sheen and refined texture, and finished with buttons at the front placket and cuffs.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/26-2018-AFL_0261_fd103890-5627-4c42-8d7b-b81d27bb59ac.jpg?v=1770320669,"XS,S,M,L"
27,Alere Top in Silk,Top,630.0,Bonica Rose,"Halter top in lightweight Italian silk georgette, defined by a softly draped v-neckline, low open back, and fringe trim detailing. Finished front pockets, a contrast placket in metallic silk canvas, woven buttons, and a self-tie back closure.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/26-2018-AFL_0298_2b0dae72-7028-4c13-b134-5c4a0266478a.jpg?v=1770320754,"XS,S,M,L"
28,Alere Top in Silk,Top,630.0,Marine,"Halter top in lightweight Italian silk georgette, defined by a softly draped v-neckline, low open back, and fringe trim detailing. Finished front pockets, a contrast placket in metallic silk canvas, woven buttons, and a self-tie back closure.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/26-2018-AFL_0285_858c0000-3382-4cb4-b284-c62f8c86853a.jpg?v=1770320785,"XS,S,M,L"
29,Tavi Pant in Wool,Pant,670.0,Camel,"This is a low-rise pant with a wide leg and clean, elongated line. Crafted in fine Italian wool twill for a soft hand and subtle texture, it is finished with surf-inspired double needle contrast top stitching at the waistband and front seams, and a classic cord tie closure.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/26-2018-AFL_0156_2cf46e4e-111e-4ba5-9aa0-bddf90847203.jpg?v=1770320859,"0,2,4,6,8,10"
30,Oraya Sweater in Cashmere,Sweater,630.0,Toffee Melange,"Medium weight cashmere sweater with a high v-neck and dolman sleeves. Designed for a relaxed fit with a slight taper at the hem, and finished with off-gauge rib detail at the neck.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/26-2018-AFL_0180_0655e05b-3b97-4210-828d-1693c2b1cf1c.jpg?v=1770321102,"XS,S,M,L"
31,Oraya Sweater in Cashmere,Sweater,630.0,Verdune,"Medium weight cashmere sweater with a high v-neck and dolman sleeves. Designed for a relaxed fit with a slight taper at the hem, and finished with off-gauge rib detail at the neck.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/26-2018-AFL_0190_7b336ca4-4023-44a6-9c5e-97522f53bd42.jpg?v=1770321035,"XS,S,M,L"
32,Ondyn Cardigan in Cashmere,Sweater,700.0,Black,"This is a compact knit cashmere cardigan, cropped just above the natural waist and defined by bell sleeves, cashmere-covered buttons, and rib detailing at the neck, sleeves, and hem.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/OndynCardigan_Black_FRONT_1.jpg?v=1770303831,"XS,S,M,L"
33,Ona Sweater in Cashmere,Sweater,590.0,Citron,This is a high-gauge cashmere sweater with a slim fit throughout and a slightly exaggerated polo collar. Finished with a half-zip detail with silver hardware and rib detailing at the sleeves and hem.,https://cdn.shopify.com/s/files/1/0667/6142/5143/files/26-2018-AFL_0198_17194b35-f607-49ed-98a3-440ed8418fbd.jpg?v=1770320975,"XS,S,M,L"
34,Marana Sweater in Wool,Sweater,400.0,Celeste,"This is a relaxed fit open deep-v-neckline sweater in soft and super fine merino wool. Designed to taper slightly at the hem to create a bloussant effect through the body, and finished with rib detailing at the neck, sleeves, and hem. Wear as-is or choose to expose a bra as a styling piece underneath.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/26-2018-AFL_0214_f90c169e-951a-4470-a814-6e3f6ac79c55.jpg?v=1770321161,"XS,S,M,L"
35,Marana Sweater in Wool,Sweater,400.0,Black,"This is a relaxed fit open deep-v-neck sweater in soft and super fine merino wool. Designed to taper slightly at the hem to create a bloussant effect through the body, and finished with rib detailing at the neck, sleeves, and hem. Wear as-is or choose to expose a bra as a styling piece underneath.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/26-2018-AFL_0223_35169536-4ee6-469e-a368-902cdea879ef.jpg?v=1770321193,"XS,S,M,L"
36,Safre Top in Wool,Sweater,370.0,Marine,"A fitted, full-length tank top with a wide crew-neckline to refine the classic silhouette. Knit from semi-sheer and light-weight ribbed merino wool.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/26-2018-AFL_0237_957092bb-bcd4-460b-961b-b362657a7015.jpg?v=1770321215,"XS,S,M,L"
37,Safre Top in Wool,Sweater,370.0,Ivory,"A fitted, full-length tank top with a wide boat-neckline to refine the classic silhouette. Knit from semi-sheer and light-weight ribbed merino wool.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/26-2018-AFL_0233_72f02ebd-35dd-4376-9190-fff7bba82e04.jpg?v=1770321244,"XS,S,M,L"
38,Faun Shirt in Silk,Top,630.0,Rose Quartz,"This is an oversized button-up shirt with a fluid, relaxed drape and an elongated silhouette. Cut in light-weight silk lamé with a metallic sheen and texture, and finished with buttons at the front placket and cuffs.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/FawnShirt_RoseQuartz_FRONT_1.jpg?v=1770302876,"XS,S,M,L"
39,Aveki Skirt in Ponyhair,Skirt,990.0,Bambi,This is a true mini skirt crafted in richly textured leather ponyhair with a printed bambi motif. Hand finished and complete with an invisible side zipper closure.,https://cdn.shopify.com/s/files/1/0667/6142/5143/files/26-1991-AFL_0024_b14d521c-d501-4e73-83be-e52d3ab293a5.jpg?v=1769102699,"0,2,4,6,8,10"
40,Faun Shirt in Silk,Top,630.0,Forest,"This is an oversized button-up shirt with a fluid, relaxed drape and an elongated silhouette. Cut in mid-weight Italian silk satin with subtle tonal striping and finished with buttons at the front placket and cuffs.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/FawnShirt_Forest_FRONT_1.jpg?v=1769102904,"XS,S,M,L"
41,Moura Coat in Shearling,Outerwear,3500.0,Moonbeam,"Cropped coat with a shawl collar, structured shoulders, and a slightly oversized, boxy silhouette. Tailored in plush Italian shearling with enveloping warmth and a dense, velvety texture and completed with discreet color-matched fabric-covered hook and bar closures, hitting just above the hip.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/26-1991-AFL_0027.webp?v=1769106539,"XS,S,M,L"
42,Verne Jean in Rigid Denim,Denim,430.0,Western Haze,"The Verne Jean is low-rise with a straight, baggy leg and a relaxed fit through the hip. Made in Los Angeles and cut in rigid Japanese denim with a substantial hand and finished with a 5-button fly closure.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/26-1991-AFL_0008.jpg?v=1770307182,"24,25,26,27,28,29,30"
43,Verne Jean in Rigid Denim,Denim,430.0,Nihon Rinse,"The Verne Jean is low-rise with a straight, baggy leg and a relaxed fit through the hip. Made in Los Angeles and cut in rigid Japanese denim with a substantial hand and finished with a button fly closure.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/26-1991-AFL_0012.jpg?v=1770307039,"24,25,26,27,28,29,30"
44,Kundera Jean in Rigid Denim,Denim,430.0,Bruised Blue,"A low to mid-rise jean with a relaxed, classic silhouette that captures the perfect slouchy fit with a flattering edge. Made from rigid cotton denim, it holds its shape while falling with ease.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/26-1991-AFL_0013_1.jpg?v=1769107156,"24,25,26,27,28,29,30"
45,Rhys Jean in Rigid Denim,Denim,430.0,Blue Hour,"The Rhys Jean is mid-rise with a straight, wide leg that falls cleanly from hip to hem. Tailored in Los Angeles from rigid Japanese denim and finished with a zipper fly closure.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/26-1991-AFL_0006.webp?v=1769106658,"24,25,26,27,28,29,30"
46,Oracle Strand Necklace in White Gold,Accessories,9500.0,White Gold,"A 14"" strand of cultured pearls, anchored by a round 4-carat diamond set in a brushed 14k white gold Greek-motif bezel. Slightly longer than a choker, it sits neatly along the collarbone.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/aflalo_neckl1_top.jpg?v=1768518082,Necklace
47,Easy Stud Earrings in White Gold,Accessories,450.0,White Gold,"A pair of classic stud earrings featuring round lab-grown diamonds, each weighing 0.5 carats, set in a clean three-prong setting of 14k white gold.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/aflalo_earr1_front.jpg?v=1768517992,"Single,Pair"
48,Luna Trench in Cotton Nylon,Coat,1100.0,Fennel,"A soft-tailored, double-breasted trench coat with relaxed raglan sleeves, wide notched lapel, and detachable belt. Cut from crisp Italian cotton-nylon for subtle shine and a structured yet fluid drape. Complete with a back storm flap, adjustable cuff straps, and a center back vent.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/LunaTrench_Taupe_9564.jpg?v=1764533595,"XS,S,M,L"
49,Racquet String in Gold,Accessories,0.0,Prussian Blue,"A 16.25 carat line of emerald-cut diamonds, woven into a set of jewel-toned navy silk string and anchored by 14k gold settings. Standard length of the bracelet is 7"", please inquire for custom length. Racquet is the new tennis as far as bracelets go. Wear it with the Ida Ring and a black silk gown to pick up soda from the store down the road. To view and shop in-person, visit our Soho Showroom at 56 Greene Street, FL 3. Open weekly Wed-Sun, 11-7pm. Returns or exchanges accepted within 14 days of shipment.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/aflalo_brace2_front-web.jpg?v=1763738923,Prussian Blue
50,Oracle Bracelet in White Gold,Accessories,0.0,White Gold,"A 7"" strand of white cultured pearls, anchored by a 3-carat diamond in a minimal 14k white gold setting. Sphere clasp with pavé diamonds close the strand. Layers nicely with the Racquet String Bracelets in any color. To view and shop in-person, visit our Soho Showroom at 56 Greene Street, FL 3. Open weekly Wed-Sun, 11-7pm. Returns or exchanges accepted within 14 days of shipment.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/aflalo_brace1_front-web_3aa77065-2d51-4c06-9251-b39a760d03ec.jpg?v=1763742410,White Gold
51,Tahitian Oracle Strand Necklace in Gold,Accessories,0.0,Gold,"A 14"" strand of Tahitian pearls, anchored by a round 6.1-carat diamond set in a brushed 14k yellow gold Greek-motif bezel. Slightly longer than a choker, it sits neatly along the collarbone and layers easily with the Tile Necklace. To view and shop in-person, visit our Soho Showroom at 56 Greene Street, FL 3. Open weekly Wed-Sun, 11-7pm. Returns or exchanges accepted within 14 days of shipment.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/aflalo_neckl1_top-web_b39895c4-fc76-4787-9bab-63a6c6fd5f7d.jpg?v=1763742312,Gold
52,Tile Necklace in Gold,Accessories,0.0,Gold,"A line of semi-precious stone tiles of Malachite, Lapis, Synthetic Coral, Turquoise, Mother Of Pearl. Set in 14k yellow gold, each tile is separated from the next by a ¼-carat diamond in a minimal gold setting. It sits along the collarbone with a slinky curve and closes at the back neck with a delicate hook and eye. Layers nicely the Tahitian Oracle Strand Necklace. To view and shop in-person, visit our Soho Showroom at 56 Greene Street, FL 3. Open weekly Wed-Sun, 11-7pm. Returns or exchanges accepted within 14 days of shipment.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/aflalo_neckl2_top-web.jpg?v=1763742224,Gold
53,Lone Tile Pendant Necklace in Gold,Accessories,0.0,Gold,"A single tiger eye semi-precious stone tile set in 14k yellow gold, outlined by a continuous 1.05ctw pavé diamond surround and finished with a white cultured pearl drop. Strung on a deep tan leather cord that can be worn long or doubled. Pairs nicely with the priestess tennis drop earring in White Gold. To view and shop in-person, visit our Soho Showroom at 56 Greene Street, FL 3. Open weekly Wed-Sun, 11-7pm. Returns or exchanges accepted within 14 days of shipment.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/aflalo_neckl3_front_close-web.jpg?v=1763742084,Gold
54,Priestess Tennis Drop Earrings in White Gold,Accessories,0.0,White Gold,"A 2.25 carat antique emerald-cut lab-grown diamond in each ear, accompanied by a white cultured pearl drop, suspended from a 14k white gold setting. Available to purchase as a single earring, or as a pair. To view and shop in-person, visit our Soho Showroom at 56 Greene Street, FL 3. Open weekly Wed-Sun, 11-7pm. Returns or exchanges accepted within 14 days of shipment.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/aflalo_earr2_front-web_f85b1614-47e4-4b2f-8b3d-8640e6726d68.jpg?v=1763740032,"Single,Pair"
55,Orbit Solitaire Huggie Earrings in Gold,Accessories,0.0,Gold,"6 carats total of brilliant round-cut lab-grown diamonds, set in 14k yellow gold. Suspended from 14k gold huggie hoops, each 3 carat stone is held in a minimal prong setting that highlights the scale and sparkle. Available to purchase as a single earring, or as a traditional pair. To view and shop in-person, visit our Soho Showroom at 56 Greene Street, FL 3. Open weekly Wed-Sun, 11-7pm. Returns or exchanges accepted within 14 days of shipment.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/aflalo_earr1_front-web_f7897619-ba8e-4717-bda7-f31096cf27ea.jpg?v=1763740005,"Single,Pair"
56,Canary Ida Ring in Gold,Accessories,0.0,Canary,"Centered on a 5.2 carat antique emerald-cut lab-grown canary diamond and flanked by 1.8 carats worth of vivid blue trillion side stones, this ring is designed to be worn on the pinky finger while holding a tea cup to your mouth, then subtly dropping it to the floor. Set in 14k yellow gold with fine double prongs that echo the geometry of the cut, the ring is best worn with a boxy, cotton shirt and drawstring pants. To view and shop in-person, visit our Soho Showroom at 56 Greene Street, FL 3. Open weekly Wed-Sun, 11-7pm. Returns or exchanges accepted within 14 days of shipment.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/aflalo_ring1_front-web3.jpg?v=1763749487,"1.5,2,2.5,3,3.5,4,4.5,5"
57,Canary Ida Ring in Gold,Accessories,8800.0,Canary,"Centered on a 5.2 carat antique emerald-cut lab-grown canary diamond and flanked by 1.8 carats worth of vivid blue trillion side stones, this ring is designed to be worn on the pinky finger while holding a tea cup to your mouth, then subtly dropping it to the floor. Set in 14k yellow gold with fine double prongs that echo the geometry of the cut, the ring is best worn with a boxy, cotton shirt and drawstring pants. To view and shop in-person, visit our Soho Showroom at 56 Greene Street, FL 3. Open weekly Wed-Sun, 11-7pm. Returns or exchanges accepted within 14 days of shipment.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/aflalo_ring1_front-web3.jpg?v=1763749487,"1.5,2,2.5,3,3.5,4,4.5,5"
58,Orbit Solitaire Huggie Earrings in Gold,Accessories,2200.0,Gold,"6 carats total of brilliant round-cut lab-grown diamonds, set in 14k yellow gold. Suspended from 14k gold huggie hoops, each 3 carat stone is held in a minimal prong setting that highlights the scale and sparkle. Available to purchase as a single earring, or as a traditional pair. To view and shop in-person, visit our Soho Showroom at 56 Greene Street, FL 3. Open weekly Wed-Sun, 11-7pm. Returns or exchanges accepted within 14 days of shipment.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/aflalo_earr1_front-web_f7897619-ba8e-4717-bda7-f31096cf27ea.jpg?v=1763740005,"Single,Pair"
59,Lone Tile Pendant Necklace in Gold,Accessories,3400.0,Gold,"A single tiger eye semi-precious stone tile set in 14k yellow gold, outlined by a continuous 1.05ctw pavé diamond surround and finished with a white cultured pearl drop. Strung on a deep tan leather cord that can be worn long or doubled. Pairs nicely with the priestess tennis drop earring in White Gold. To view and shop in-person, visit our Soho Showroom at 56 Greene Street, FL 3. Open weekly Wed-Sun, 11-7pm. Returns or exchanges accepted within 14 days of shipment.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/aflalo_neckl3_front_close-web.jpg?v=1763742084,Gold
60,Priestess Tennis Drop Earrings in White Gold,Accessories,2800.0,White Gold,"A 2.25 carat antique emerald-cut lab-grown diamond in each ear, accompanied by a white cultured pearl drop, suspended from a 14k white gold setting. Available to purchase as a single earring, or as a pair. To view and shop in-person, visit our Soho Showroom at 56 Greene Street, FL 3. Open weekly Wed-Sun, 11-7pm. Returns or exchanges accepted within 14 days of shipment.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/aflalo_earr2_front-web_f85b1614-47e4-4b2f-8b3d-8640e6726d68.jpg?v=1763740032,"Single,Pair"
61,Tile Necklace in Gold,Accessories,22500.0,Gold,"A line of semi-precious stone tiles of Malachite, Lapis, Synthetic Coral, Turquoise, Mother Of Pearl. Set in 14k yellow gold, each tile is separated from the next by a ¼-carat diamond in a minimal gold setting. It sits along the collarbone with a slinky curve and closes at the back neck with a delicate hook and eye. Layers nicely the Tahitian Oracle Strand Necklace. To view and shop in-person, visit our Soho Showroom at 56 Greene Street, FL 3. Open weekly Wed-Sun, 11-7pm. Returns or exchanges accepted within 14 days of shipment.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/aflalo_neckl2_top-web.jpg?v=1763742224,Gold
62,Tahitian Oracle Strand Necklace in Gold,Accessories,14500.0,Gold,"A 14"" strand of Tahitian pearls, anchored by a round 6.1-carat diamond set in a brushed 14k yellow gold Greek-motif bezel. Slightly longer than a choker, it sits neatly along the collarbone and layers easily with the Tile Necklace. To view and shop in-person, visit our Soho Showroom at 56 Greene Street, FL 3. Open weekly Wed-Sun, 11-7pm. Returns or exchanges accepted within 14 days of shipment.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/aflalo_neckl1_top-web_b39895c4-fc76-4787-9bab-63a6c6fd5f7d.jpg?v=1763742312,Gold
63,Oracle Bracelet in White Gold,Accessories,6800.0,White Gold,"A 7"" strand of white cultured pearls, anchored by a 3-carat diamond in a minimal 14k white gold setting. Sphere clasp with pavé diamonds close the strand. Layers nicely with the Racquet String Bracelets in any color. To view and shop in-person, visit our Soho Showroom at 56 Greene Street, FL 3. Open weekly Wed-Sun, 11-7pm. Returns or exchanges accepted within 14 days of shipment.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/aflalo_brace1_front-web_3aa77065-2d51-4c06-9251-b39a760d03ec.jpg?v=1763742410,White Gold
64,Racquet String in Gold,Accessories,8800.0,Prussian Blue,"A 16.25 carat line of emerald-cut diamonds, woven into a set of jewel-toned navy silk string and anchored by 14k gold settings. Standard length of the bracelet is 7"", please inquire for custom length. Racquet is the new tennis as far as bracelets go. Wear it with the Ida Ring and a black silk gown to pick up soda from the store down the road. To view and shop in-person, visit our Soho Showroom at 56 Greene Street, FL 3. Open weekly Wed-Sun, 11-7pm. Returns or exchanges accepted within 14 days of shipment.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/aflalo_brace2_front-web.jpg?v=1763738923,Prussian Blue
